Seq. No.,2022 NAICS US   Code,2022 NAICS US Title,,
,,,,
1,11,"Agriculture, Forestry, Fishing and Hunting",,
2,111,Crop Production,,
3,1111,Oilseed and Grain Farming,,
4,11111,Soybean Farming,,
5,111110,Soybean Farming,,
6,11112,Oilseed (except Soybean) Farming,,
7,111120,Oilseed (except Soybean) Farming ,, 
8,11113,Dry Pea and Bean Farming,,
9,111130,Dry Pea and Bean Farming ,,
10,11114,Wheat Farming,,
11,111140,Wheat Farming,,
12,11115,Corn Farming,,
13,111150,Corn Farming ,,
14,11116,Rice Farming,,
15,111160,Rice Farming,,
16,11119,Other Grain Farming,,
17,111191,Oilseed and Grain Combination Farming ,,
18,111199,All Other Grain Farming ,,
19,1112,Vegetable and Melon Farming,,
20,11121,Vegetable and Melon Farming,,
21,111211,Potato Farming ,,
22,111219,Other Vegetable (except Potato) and Melon Farming ,,
23,1113,Fruit and Tree Nut Farming,,
24,11131,Orange Groves,,
25,111310,Orange Groves,,
26,11132,Citrus (except Orange) Groves,,
27,111320,Citrus (except Orange) Groves ,,
28,11133,Noncitrus Fruit and Tree Nut Farming,,
29,111331,Apple Orchards ,,
30,111332,Grape Vineyards ,,
31,111333,Strawberry Farming ,,
32,111334,Berry (except Strawberry) Farming ,,
33,111335,Tree Nut Farming ,,
34,111336,Fruit and Tree Nut Combination Farming ,,
35,111339,Other Noncitrus Fruit Farming ,,
36,1114,"Greenhouse, Nursery, and Floriculture Production",,
37,11141,Food Crops Grown Under Cover,,
38,111411,Mushroom Production ,,
39,111419,Other Food Crops Grown Under Cover ,,
40,11142,Nursery and Floriculture Production,,
41,111421,Nursery and Tree Production ,,
42,111422,Floriculture Production ,,
43,1119,Other Crop Farming,,
44,11191,Tobacco Farming,,
45,111910,Tobacco Farming,,
46,11192,Cotton Farming,,
47,111920,Cotton Farming,,
48,11193,Sugarcane Farming,,
49,111930,Sugarcane Farming,,
50,11194,Hay Farming,,
51,111940,Hay Farming ,,
52,11199,All Other Crop Farming,,
53,111991,Sugar Beet Farming ,,
54,111992,Peanut Farming ,,
55,111998,All Other Miscellaneous Crop Farming ,,
56,112,Animal Production and Aquaculture,,
57,1121,Cattle Ranching and Farming,,
58,11211,"Beef Cattle Ranching and Farming, including Feedlots",,
59,112111,Beef Cattle Ranching and Farming ,,
60,112112,Cattle Feedlots ,,
61,11212,Dairy Cattle and Milk Production,,
62,112120,Dairy Cattle and Milk Production,,
63,11213,Dual-Purpose Cattle Ranching and Farming,,
64,112130,Dual-Purpose Cattle Ranching and Farming ,,
65,1122,Hog and Pig Farming,,
66,11221,Hog and Pig Farming,,
67,112210,Hog and Pig Farming ,,
68,1123,Poultry and Egg Production,,
69,11231,Chicken Egg Production,,
70,112310,Chicken Egg Production ,,
71,11232,Broilers and Other Meat Type Chicken Production,,
72,112320,Broilers and Other Meat Type Chicken Production ,,
73,11233,Turkey Production,,
74,112330,Turkey Production,,
75,11234,Poultry Hatcheries,,
76,112340,Poultry Hatcheries,,
77,11239,Other Poultry Production,,
