project,file,line,key_path,value_snippet,issue_type,severity,suggested_fix_hint
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,18,(line),3. [MEDIUM] placeholder — `(line)` in `BLANKS_AUDIT.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,19,(line),4. [MEDIUM] placeholder — `(line)` in `BLANKS_AUDIT.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,20,(line),5. [MEDIUM] placeholder — `(line)` in `BLANKS_AUDIT.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,21,(line),6. [MEDIUM] placeholder — `(line)` in `BLANKS_AUDIT.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,22,(line),7. [MEDIUM] placeholder — `(line)` in `BLANKS_AUDIT.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,23,(line),8. [MEDIUM] placeholder — `(line)` in `BLANKS_AUDIT.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,24,(line),9. [MEDIUM] placeholder — `(line)` in `BLANKS_AUDIT.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,25,(line),10. [MEDIUM] placeholder — `(line)` in `BLANKS_AUDIT.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,26,(line),11. [MEDIUM] placeholder — `(line)` in `BLANKS_REMEDIATION_PLAN.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
docs,generated_repos\agent-build-007-2-1-1\docs\BLANKS_AUDIT.md,27,(line),12. [MEDIUM] placeholder — `(line)` in `BLANKS_REMEDIATION_PLAN.md` (docs),placeholder,MEDIUM,Replace placeholder token in documentation/source.
